id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2006006,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.00,2.33,2,5.95
2013007,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,1,5.87
2008008,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.80,1.98,0.17,1,5.82
1998005,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0,5.82
20090010,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0,5.78
1996004,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0,5.74
2014006,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,1,5.64
2007008,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.00,1,5.64
2006007,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,1,5.63
1988002,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0,5.58
1999004,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.60,1.97,0,5.55
20090011,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,1,5.55
2007009,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,1,5.54
20090012,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.90,0.10,0,5.49
2001006,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0,5.49
2008009,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0,5.48
20110012,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,1,5.48
2014007,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.00,0,5.48
2001007,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0,5.47
2001008,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0,5.46
1999005,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0,5.45
2001009,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,1,5.42
20080010,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.00,1,5.39
2016002,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.50,0.19,1,5.38
1989002,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.00,0,5.34
20090013,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,1,5.33
1999006,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0,5.31
2000001,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0,5.30
2012009,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0,5.29
2003002,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0,5.29
1999007,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0,5.27
2014008,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0,5.27
2014009,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.00,1,5.26
20090014,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,1,5.26
